cluster_202002,income_msoa,pct_manag_prof,median_age,pct_minority
2,49807.692,31.166,36.691,57.44
2,51026.316,,,
3,48500.0,36.642,50.394,2.762
3,54238.462,46.452,37.422,39.75
1,44272.222,43.551,45.874,5.406
2,59900.0,52.609,49.702,20.977
3,45475.0,35.465,47.2,3.056
0,44660.87,32.349,44.876,4.294
4,47400.0,33.309,43.487,4.381
3,44900.0,40.215,49.231,14.544
2,35600.0,30.976,44.575,3.128
2,38225.0,27.965,36.446,9.781
0,51700.0,31.261,36.797,9.389
1,49400.0,41.91,45.672,4.51
2,29350.0,,,
3,39830.0,36.153,54.197,1.753
3,52453.846,45.882,44.78,6.711
2,38955.556,28.415,45.589,3.357
0,53820.0,49.696,45.999,7.404
3,35685.714,19.485,34.102,24.386
1,30900.0,21.533,55.243,1.831
1,36200.0,26.927,44.88,15.098
2,50193.75,42.044,39.314,15.232
2,60653.846,48.762,39.317,11.101
3,43200.0,36.63,53.086,2.099
0,42393.939,28.306,35.611,24.522
1,38100.0,18.627,34.078,65.049
3,42400.0,34.553,46.412,2.936
0,37000.0,26.93,50.507,2.589
1,65909.524,44.903,39.588,35.667
0,44269.231,29.472,38.201,29.987
3,42500.0,31.725,49.769,1.54
1,61000.0,45.571,45.844,6.72
3,43000.0,,,
3,44200.0,29.14,40.059,9.836
2,65475.0,46.775,42.085,16.233
2,49000.0,37.943,38.63,12.53
3,60300.0,47.956,40.862,4.924
2,39571.429,35.704,47.871,3.866
2,58900.0,40.894,40.758,7.704
3,45650.0,36.81,45.049,24.959
2,55668.0,42.949,37.401,44.311
2,41300.0,44.316,43.559,7.759
2,28700.0,16.964,39.186,4.939
2,32566.667,25.022,39.554,17.243
3,46900.0,45.297,43.278,10.382
0,38357.143,27.882,39.074,12.653
0,35800.0,21.368,39.425,3.543
3,56095.238,43.68,40.737,7.488
3,38060.0,26.759,42.978,3.044
1,69100.0,48.512,43.467,29.749
0,53565.517,44.008,40.46,9.855
2,39672.727,20.766,34.257,42.737
3,52142.857,43.25,44.818,3.839
2,34800.0,28.71,52.967,1.705
3,41140.0,28.837,45.757,3.402
3,46134.783,36.254,37.701,14.986
2,37509.091,26.459,44.107,2.725
0,27300.0,19.43,32.656,22.937
1,66823.529,51.946,43.499,26.652
2,56104.0,45.29,39.249,7.633
0,40480.0,37.234,46.119,2.272
2,55577.778,33.182,40.75,57.18
0,48328.571,35.614,41.017,15.86
0,52500.0,38.859,43.639,15.188
3,39560.0,29.068,45.018,3.552
2,49700.0,37.003,42.818,4.316
1,31500.0,15.324,33.818,66.594
3,55782.353,49.339,46.154,9.181
3,52300.0,34.436,42.533,4.262
2,39972.727,39.803,61.217,2.74
2,36700.0,26.564,42.844,7.244
0,39493.333,28.898,38.546,11.813
2,42400.0,33.219,35.379,9.57
3,42555.556,37.548,48.335,3.575
0,43000.0,34.296,44.162,3.598
0,37900.0,27.973,44.534,2.658
0,58590.909,44.586,44.85,2.931
0,54687.5,,,
3,46400.0,40.508,52.145,1.81
0,33550.0,21.756,35.712,10.187
1,47400.0,48.887,43.667,15.67
3,50868.75,40.65,44.564,4.17
3,42836.364,29.866,33.996,36.626
2,48260.0,37.696,40.38,4.965
0,39768.75,27.922,37.356,18.365
3,50045.455,43.533,51.869,5.636
2,41170.0,38.336,49.083,7.318
2,56095.0,46.688,46.009,5.48
3,31700.0,22.054,33.615,7.842
0,42346.154,32.91,46.7,3.045
0,45940.0,30.533,23.757,34.323
3,55400.0,33.496,37.389,43.146
1,64084.615,47.918,36.657,21.267
3,46800.0,28.892,35.194,19.297
2,37700.0,33.161,55.872,2.034
2,37490.909,24.003,50.549,1.703
0,58418.75,49.687,40.516,12.247
0,51700.0,31.261,36.797,9.389
3,44300.0,40.79,48.553,4.169
3,41671.429,36.211,48.723,1.534
3,48942.857,41.615,47.213,4.829
2,34925.0,24.553,39.163,7.429
1,65400.0,37.984,40.22,65.331
0,31600.0,17.991,33.335,36.015
0,37689.474,28.536,40.478,3.389
3,45200.0,40.629,50.419,2.463
3,50692.0,40.394,39.528,16.603
0,37200.0,25.67,47.753,3.409
3,35900.0,11.428,28.344,70.697
2,36600.0,25.263,48.313,1.734
0,45026.667,29.998,36.996,28.198
0,35515.789,26.463,36.791,21.227
1,40804.167,29.381,37.592,14.637
3,45864.706,42.773,45.73,4.724
3,42700.0,30.944,37.516,13.173
3,35933.333,30.481,52.483,1.588
1,30900.0,19.954,36.649,8.079
2,62400.0,47.931,38.527,38.21
3,40800.0,28.902,34.803,22.555
3,30900.0,19.954,36.649,8.079
2,49300.0,51.034,50.687,4.574
2,43300.0,38.801,50.804,3.377
1,44650.0,42.587,51.624,5.71
2,40057.143,22.736,38.423,23.05
2,31430.0,19.622,34.147,55.036
2,47141.667,36.256,39.039,14.09
3,39000.0,29.153,44.468,2.049
2,41118.182,28.376,44.184,4.66
1,38937.5,23.111,37.275,28.826
3,38100.0,28.244,41.351,10.464
3,46911.111,39.865,39.501,14.37
0,54213.043,45.718,45.174,10.739
1,51058.333,35.939,40.379,38.899
1,52178.571,23.772,36.188,75.477
2,57000.0,45.096,47.591,6.033
2,43590.909,44.301,37.602,10.816
3,36800.0,25.264,42.256,3.393
0,40075.0,33.343,45.678,3.64
1,42700.0,30.944,37.516,13.173
3,34471.429,27.41,42.504,1.743
2,34400.0,25.644,44.41,6.167
1,32300.0,22.684,38.463,10.623
0,75683.333,50.153,39.134,10.258
1,78466.667,58.931,31.56,53.472
3,53943.75,35.856,39.506,74.343
0,36100.0,22.505,37.85,4.537
3,45950.0,39.907,45.538,4.395
2,50786.667,44.987,45.442,8.663
2,44800.0,40.761,46.322,3.149
1,37494.737,24.877,37.489,18.499
3,59407.692,49.487,50.552,6.114
3,35000.0,22.128,41.359,5.052
2,47469.231,,,
3,49872.727,43.634,50.164,6.877
3,52150.0,39.738,42.39,5.615
3,59195.0,46.848,45.557,17.302
2,48317.647,44.006,45.215,25.195
2,34405.882,24.171,43.122,1.469
3,41180.0,32.089,48.013,4.024
3,51775.0,39.906,47.642,10.674
0,45900.0,40.424,43.513,13.305
2,45373.684,40.675,47.143,2.918
0,42360.0,40.229,58.531,2.621
2,40500.0,34.142,44.223,3.08
3,46418.182,40.779,52.389,3.878
2,43916.667,36.704,39.767,12.275
3,46400.0,32.519,46.326,10.179
3,54000.0,41.498,40.909,32.728
0,52128.571,40.444,44.744,11.668
3,40900.0,35.51,54.006,1.857
2,58400.0,45.846,41.374,18.137
3,38130.0,24.373,38.721,12.949
3,33700.0,18.436,35.879,11.467
1,55740.0,40.814,46.164,5.651
0,50350.0,37.518,47.475,8.366
3,38884.211,28.947,41.771,8.129
2,46866.667,35.937,40.529,14.622
0,40552.941,31.895,44.675,7.213
3,54213.043,45.718,45.174,10.739
2,55000.0,32.674,41.737,33.647
3,40533.333,31.712,42.044,38.884
3,28800.0,15.025,32.819,25.534
2,43700.0,42.257,49.888,2.818
2,47722.857,,,
0,37050.0,27.188,42.952,5.711
2,33566.667,29.436,41.023,12.52
2,44486.667,33.837,43.52,3.837
1,55200.0,46.704,39.613,20.783
2,72462.5,,,
1,78000.0,57.194,43.098,11.56
0,44955.556,,,
2,53776.471,47.469,37.998,8.593
0,44100.0,28.929,37.737,16.14
3,52700.0,42.855,45.167,2.352
3,56392.308,41.595,36.882,16.123
3,44671.429,40.672,52.955,2.92
0,35100.0,32.891,55.447,2.445
3,44400.0,38.162,59.112,3.377
0,67277.273,51.603,44.296,36.098
2,48833.333,33.573,41.461,11.082
2,34300.0,24.935,40.711,11.352
0,37700.0,30.149,50.952,4.991
0,45633.333,39.004,47.265,15.356
3,44361.111,30.931,40.31,20.305
0,38900.0,34.234,51.272,4.192
0,40270.588,36.197,49.015,2.263
3,37855.556,17.907,37.931,6.979
0,50150.0,21.755,34.279,55.903
0,42393.939,28.306,35.611,24.522
2,51105.556,37.103,40.116,24.765
3,55700.0,41.891,43.197,3.72
3,45133.333,29.261,53.851,2.087
1,53342.857,42.245,38.636,36.419
0,34471.429,27.41,42.504,1.743
0,50881.25,42.917,43.041,6.429
0,33985.714,,,
1,35764.706,,,
2,54104.762,47.903,41.257,17.298
2,42000.0,28.736,40.368,7.347
2,47041.176,42.109,43.5,11.827
3,56275.0,54.523,42.937,15.01
3,42000.0,32.222,44.813,4.897
1,47209.091,40.371,44.78,5.606
0,41400.0,35.477,51.915,1.617
2,50100.0,41.86,36.314,43.683
2,33550.0,13.531,30.45,70.37
2,56975.0,51.813,33.058,12.343
0,42854.545,30.335,40.036,9.639
3,47100.0,30.551,38.295,10.498
2,46660.0,36.319,41.881,36.512
0,50409.091,22.809,22.552,13.253
3,51327.273,47.346,47.799,4.441
