month,dimension,cluster,n,q1,median,q3,whisker_low,whisker_high,mean,mean_ci95_low,mean_ci95_high
Feb 2020 (pre-COVID),Neighbourhood income (£),0,13192,38500.0,44150.0,50502.273,21000.0,68500.0,44939.659,44785.079,45094.239
Feb 2020 (pre-COVID),Neighbourhood income (£),1,5184,40592.308,47800.0,55190.909,22475.0,76700.0,48173.791,47888.051,48459.531
Feb 2020 (pre-COVID),Neighbourhood income (£),2,15189,39000.0,45088.889,52300.0,21300.0,72106.25,46096.238,45940.828,46251.648
Feb 2020 (pre-COVID),Neighbourhood income (£),3,16375,37900.0,43775.0,50250.0,21300.0,68758.621,44534.536,44395.662,44673.41
Feb 2020 (pre-COVID),Neighbourhood income (£),4,708,41066.667,47892.928,54596.25,25000.0,74610.526,48140.099,47405.591,48874.608
Feb 2020 (pre-COVID),% managerial & professional,0,12918,27.173,34.323,41.341,7.436,62.277,34.25,34.081,34.419
Feb 2020 (pre-COVID),% managerial & professional,1,5105,27.084,35.339,44.095,8.325,69.243,35.724,35.412,36.035
Feb 2020 (pre-COVID),% managerial & professional,2,14935,27.468,34.989,42.506,7.436,64.621,35.102,34.936,35.268
Feb 2020 (pre-COVID),% managerial & professional,3,15986,26.577,33.719,40.843,5.81,61.782,33.678,33.528,33.829
Feb 2020 (pre-COVID),% managerial & professional,4,693,25.427,32.299,42.099,11.463,65.853,33.702,32.871,34.533
Feb 2020 (pre-COVID),Median age (years),0,12918,38.724,42.769,47.08,26.222,59.525,42.747,42.641,42.853
Feb 2020 (pre-COVID),Median age (years),1,5105,36.336,39.838,43.86,25.093,55.073,40.265,40.114,40.416
Feb 2020 (pre-COVID),Median age (years),2,14935,37.856,41.977,46.089,25.629,58.432,42.039,41.945,42.134
Feb 2020 (pre-COVID),Median age (years),3,15986,38.451,42.542,46.8,26.161,59.323,42.625,42.532,42.718
Feb 2020 (pre-COVID),Median age (years),4,693,34.83,37.525,41.098,26.222,50.415,38.243,37.885,38.601
Feb 2020 (pre-COVID),% ethnic minority,0,12918,3.564,6.827,16.32,0.793,35.393,13.073,12.812,13.334
Feb 2020 (pre-COVID),% ethnic minority,1,5105,7.488,19.299,38.389,1.027,84.605,25.377,24.804,25.95
Feb 2020 (pre-COVID),% ethnic minority,2,14935,4.465,9.9,22.707,0.793,50.007,16.658,16.383,16.934
Feb 2020 (pre-COVID),% ethnic minority,3,15986,3.516,6.77,16.926,0.793,37.018,13.362,13.12,13.603
Feb 2020 (pre-COVID),% ethnic minority,4,693,15.532,33.541,51.716,1.106,85.353,34.928,33.29,36.566
